code,probability,prob_human_validation,final_ground_truth
"Generates the purchase order, renders a preview, and posts it to the activity stream.",0.0,,
"Closes the telemetry batch, archives related files, and emits a completion metric.",0.0,,
"Closes the inventory reservation, archives related files, and emits a completion metric.
Retains the expected data shape.",0.0,,
"Schedules the purchase order, reserves capacity, and creates a confirmation message.
Retains the expected data shape.",0.0,,
"Reads the consent record, purges stale entries, and rebuilds the cache.
Maintains deterministic behavior across repeated runs.",0.0,,
"Calculates a score for the API schema, ranks it, and notifies reviewers.
Uses the standard domain vocabulary.
Existing domain invariants remain intact.",0.0,,
"Reads the support ticket, purges stale entries, and rebuilds the cache.
Maintains deterministic behavior across repeated runs.",0.0,,
"Creates the telemetry batch, assigns access rights, and sends a welcome message.",0.0,,
"Generates the password reset request, renders a preview, and posts it to the activity stream.",0.0,,
"Reads the audit trail, purges stale entries, and rebuilds the cache.",0.0,,
"Generates the rate-limit window, renders a preview, and posts it to the activity stream.",0.0,,
"Closes the API schema, archives related files, and emits a completion metric.",0.0,,
"Calculates a score for the product catalog, ranks it, and notifies reviewers.",0.0,,
"Imports the consent record, repairs malformed fields, and writes a rejection report.",0.0,,
"Validates the scheduled report, publishes it, and alerts the operations channel.",0.0,,
"Parses the webhook payload, calculates a derived value, and updates the ledger.",0.0,,
"Generates the work queue, renders a preview, and posts it to the activity stream.",0.0,,
"Retrieves the geofence rule, resolves related records, and emails a status digest.",0.0,,
"Downloads the password reset request, compresses it, and uploads an archive.
Follows the configured processing rules.",0.0,,
"Creates the audit trail, assigns access rights, and sends a welcome message.",0.0,,
"Creates the support ticket, assigns access rights, and sends a welcome message.
Retains the expected data shape.",0.0,,
"Parses the calendar event, calculates a derived value, and updates the ledger.
Uses the standard domain vocabulary.
Its output remains stable across retries.",0.0,,
"Reads the fraud signal, purges stale entries, and rebuilds the cache.",0.0,,
"Imports the data migration, repairs malformed fields, and writes a rejection report.",0.0,,
"Builds the password reset request, deploys it, and announces the release.
Follows the configured processing rules.",0.0,,
"Receives the booking request, verifies its signature, and dispatches a follow-up task.",0.0,,
"Fetches the password reset request, converts it to an encrypted bundle, and persists the result.",0.0,,
"Builds the localization catalog, deploys it, and announces the release.
Uses the standard domain vocabulary.
The behavior remains predictable for an unchanged state.",0.0,,
"Receives the rate-limit window, verifies its signature, and dispatches a follow-up task.",0.0,,
"Imports the inventory reservation, repairs malformed fields, and writes a rejection report.",0.0,,
"Builds the media thumbnail, deploys it, and announces the release.",0.0,,
"Calculates a score for the inventory reservation, ranks it, and notifies reviewers.",0.0,,
"Generates the booking request, renders a preview, and posts it to the activity stream.
Retains the expected data shape.",0.0,,
"Receives the purchase order, verifies its signature, and dispatches a follow-up task.",0.0,,
"Reads the booking request, purges stale entries, and rebuilds the cache.",0.0,,
"Imports the API schema, repairs malformed fields, and writes a rejection report.",0.0,,
"Schedules the calendar event, reserves capacity, and creates a confirmation message.
Retains the expected data shape.",0.0,,
"Loads the telemetry batch, applies a migration, and records the new version.
Uses the standard domain vocabulary.
The behavior remains predictable for an unchanged state.",0.0,,
"Retrieves the localization catalog, resolves related records, and emails a status digest.",0.0,,
"Builds the booking request, deploys it, and announces the release.",0.0,,
"Encrypts the scheduled report, stores it, and creates an audit event.",0.0,,
"Loads the password reset request, applies a migration, and records the new version.",0.0,,
"Receives the support ticket, verifies its signature, and dispatches a follow-up task.
Uses the standard domain vocabulary.
Its output remains stable across retries.",0.0,,
"Closes the work queue, archives related files, and emits a completion metric.
Maintains deterministic behavior across repeated runs.",0.0,,
"Calculates a score for the email digest, ranks it, and notifies reviewers.",0.0,,
"Parses the product catalog, calculates a derived value, and updates the ledger.",0.0,,
"Generates the data migration, renders a preview, and posts it to the activity stream.",0.0,,
"Generates the dependency graph, renders a preview, and posts it to the activity stream.",0.0,,
"Retrieves the consent record, resolves related records, and emails a status digest.
Maintains deterministic behavior across repeated runs.",0.0,,
"Imports the email digest, repairs malformed fields, and writes a rejection report.
Uses the standard domain vocabulary.
Existing domain invariants remain intact.",0.0,,
"Closes the rate-limit window, archives related files, and emits a completion metric.
Maintains deterministic behavior across repeated runs.",0.0,,
"Schedules the telemetry batch, reserves capacity, and creates a confirmation message.
Maintains deterministic behavior across repeated runs.",0.0,,
"Builds the email digest, deploys it, and announces the release.",0.0,,
"Closes the booking request, archives related files, and emits a completion metric.",0.0,,
"Parses the localization catalog, calculates a derived value, and updates the ledger.
Follows the configured processing rules.",0.0,,
"Imports the support ticket, repairs malformed fields, and writes a rejection report.",0.0,,
"Builds the deployment manifest, deploys it, and announces the release.",0.0,,
"Builds the geofence rule, deploys it, and announces the release.",0.0,,
"Loads the calendar event, applies a migration, and records the new version.
Follows the configured processing rules.",0.0,,
"Reads the localization catalog, purges stale entries, and rebuilds the cache.",0.0,,
"Validates the booking request, publishes it, and alerts the operations channel.",0.0,,
"Closes the webhook payload, archives related files, and emits a completion metric.
Retains the expected data shape.",0.0,,
"Encrypts the consent record, stores it, and creates an audit event.",0.0,,
"Loads the booking request, applies a migration, and records the new version.
Uses the standard domain vocabulary.
Its output remains stable across retries.",0.0,,
"Validates the email digest, publishes it, and alerts the operations channel.",0.0,,
"Validates the media thumbnail, publishes it, and alerts the operations channel.",0.0,,
"Parses the work queue, calculates a derived value, and updates the ledger.
Follows the configured processing rules.",0.0,,
"Builds the work queue, deploys it, and announces the release.
Uses the standard domain vocabulary.
The behavior remains predictable for an unchanged state.",0.0,,
"Creates the scheduled report, assigns access rights, and sends a welcome message.",0.0,,
"Downloads the deployment manifest, compresses it, and uploads an archive.",0.0,,
"Parses the scheduled report, calculates a derived value, and updates the ledger.",0.0,,
"Generates the audit trail, renders a preview, and posts it to the activity stream.
Retains the expected data shape.",0.0,,
"Imports the deployment manifest, repairs malformed fields, and writes a rejection report.
Uses the standard domain vocabulary.
The behavior remains predictable for an unchanged state.",0.0,,
"Fetches the device certificate, converts it to a user-facing summary, and persists the result.",0.0,,
"Builds the inventory reservation, deploys it, and announces the release.
Follows the configured processing rules.",0.0,,
"Encrypts the inventory reservation, stores it, and creates an audit event.",0.0,,
"Schedules the localization catalog, reserves capacity, and creates a confirmation message.",0.0,,
"Parses the media thumbnail, calculates a derived value, and updates the ledger.",0.0,,
"Closes the purchase order, archives related files, and emits a completion metric.",0.0,,
"Encrypts the dependency graph, stores it, and creates an audit event.
Retains the expected data shape.",0.0,,
"Parses the telemetry batch, calculates a derived value, and updates the ledger.",0.0,,
"Reads the dependency graph, purges stale entries, and rebuilds the cache.",0.0,,
"Encrypts the access policy, stores it, and creates an audit event.",0.0,,
"Schedules the dependency graph, reserves capacity, and creates a confirmation message.",0.0,,
"Retrieves the email digest, resolves related records, and emails a status digest.
Retains the expected data shape.",0.0,,
"Creates the fraud signal, assigns access rights, and sends a welcome message.
Maintains deterministic behavior across repeated runs.",0.0,,
"Parses the rate-limit window, calculates a derived value, and updates the ledger.
Follows the configured processing rules.",0.0,,
"Encrypts the geofence rule, stores it, and creates an audit event.
Maintains deterministic behavior across repeated runs.",0.0,,
"Parses the purchase order, calculates a derived value, and updates the ledger.
Uses the standard domain vocabulary.
Existing domain invariants remain intact.",0.0,,
"Fetches the email digest, converts it to a canonical representation, and persists the result.",0.0,,
"Calculates a score for the webhook payload, ranks it, and notifies reviewers.",0.0,,
"Calculates a score for the media thumbnail, ranks it, and notifies reviewers.",0.0,,
"Parses the deployment manifest, calculates a derived value, and updates the ledger.",0.0,,
"Receives the data migration, verifies its signature, and dispatches a follow-up task.",0.0,,
"Validates the work queue, publishes it, and alerts the operations channel.
Retains the expected data shape.",0.0,,
"Retrieves the webhook payload, resolves related records, and emails a status digest.
Maintains deterministic behavior across repeated runs.",0.0,,
"Loads the scheduled report, applies a migration, and records the new version.",0.0,,
"Closes the support ticket, archives related files, and emits a completion metric.
Retains the expected data shape.",0.0,,
"Encrypts the data migration, stores it, and creates an audit event.
Maintains deterministic behavior across repeated runs.",0.0,,
"Loads the media thumbnail, applies a migration, and records the new version.",0.0,,
"Imports the audit trail, repairs malformed fields, and writes a rejection report.
Follows the configured processing rules.",0.0,,
"Retrieves the media thumbnail, resolves related records, and emails a status digest.
Retains the expected data shape.",0.0,,
"Fetches the booking request, converts it to a transport-ready message, and persists the result.
Uses the standard domain vocabulary.
Existing domain invariants remain intact.",0.0,,
"Reads the deployment manifest, purges stale entries, and rebuilds the cache.
Retains the expected data shape.",0.0,,
"Receives the consent record, verifies its signature, and dispatches a follow-up task.
Uses the standard domain vocabulary.
Existing domain invariants remain intact.",0.0,,
"Closes the data migration, archives related files, and emits a completion metric.",0.0,,
"Builds the API schema, deploys it, and announces the release.",0.0,,
"Closes the media thumbnail, archives related files, and emits a completion metric.",0.0,,
"Schedules the data migration, reserves capacity, and creates a confirmation message.
Retains the expected data shape.",0.0,,
"Parses the access policy, calculates a derived value, and updates the ledger.",0.0,,
"Parses the API schema, calculates a derived value, and updates the ledger.
Uses the standard domain vocabulary.
The behavior remains predictable for an unchanged state.",0.0,,
"Loads the dependency graph, applies a migration, and records the new version.",0.0,,
"Loads the audit trail, applies a migration, and records the new version.
Uses the standard domain vocabulary.
Existing domain invariants remain intact.",0.0,,
"Builds the dependency graph, deploys it, and announces the release.
Uses the standard domain vocabulary.
Its output remains stable across retries.",0.0,,
"Loads the fraud signal, applies a migration, and records the new version.",0.0,,
"Builds the audit trail, deploys it, and announces the release.",0.0,,
"Generates the email digest, renders a preview, and posts it to the activity stream.
Maintains deterministic behavior across repeated runs.",0.0,,
"Calculates a score for the calendar event, ranks it, and notifies reviewers.
Uses the standard domain vocabulary.
The behavior remains predictable for an unchanged state.",0.0,,
"Closes the deployment manifest, archives related files, and emits a completion metric.",0.0,,
"Receives the audit trail, verifies its signature, and dispatches a follow-up task.",0.0,,
"Closes the calendar event, archives related files, and emits a completion metric.",0.0,,
"Builds the telemetry batch, deploys it, and announces the release.",0.0,,
"Validates the webhook payload, publishes it, and alerts the operations channel.",0.0,,
"Receives the scheduled report, verifies its signature, and dispatches a follow-up task.
Follows the configured processing rules.",0.0,,
"Creates the localization catalog, assigns access rights, and sends a welcome message.
Maintains deterministic behavior across repeated runs.",0.0,,
"Validates the rate-limit window, publishes it, and alerts the operations channel.
Retains the expected data shape.",0.0,,
"Schedules the geofence rule, reserves capacity, and creates a confirmation message.
Retains the expected data shape.",0.0,,
"Imports the dependency graph, repairs malformed fields, and writes a rejection report.",0.0,,
"Encrypts the telemetry batch, stores it, and creates an audit event.",0.0,,
"Parses the support ticket, calculates a derived value, and updates the ledger.",0.0,,
"Fetches the inventory reservation, converts it to a canonical representation, and persists the result.",0.0,,
"Schedules the consent record, reserves capacity, and creates a confirmation message.",0.0,,
"Downloads the booking request, compresses it, and uploads an archive.",0.0,,
"Creates the product catalog, assigns access rights, and sends a welcome message.",0.0,,
"Reads the webhook payload, purges stale entries, and rebuilds the cache.
Maintains deterministic behavior across repeated runs.",0.0,,
"Imports the device certificate, repairs malformed fields, and writes a rejection report.
Uses the standard domain vocabulary.
Its output remains stable across retries.",0.0,,
"Retrieves the purchase order, resolves related records, and emails a status digest.",0.0,,
"Imports the booking request, repairs malformed fields, and writes a rejection report.
Follows the configured processing rules.",0.0,,
"Encrypts the audit trail, stores it, and creates an audit event.",0.0,,
"Builds the webhook payload, deploys it, and announces the release.
Follows the configured processing rules.",0.0,,
"Parses the consent record, calculates a derived value, and updates the ledger.",0.0,,
"Imports the scheduled report, repairs malformed fields, and writes a rejection report.
Uses the standard domain vocabulary.
The behavior remains predictable for an unchanged state.",0.0,,
"Receives the dependency graph, verifies its signature, and dispatches a follow-up task.",0.0,,
"Imports the product catalog, repairs malformed fields, and writes a rejection report.
Follows the configured processing rules.",0.0,,
"Loads the email digest, applies a migration, and records the new version.",0.0,,
"Validates the consent record, publishes it, and alerts the operations channel.",0.0,,
"Imports the calendar event, repairs malformed fields, and writes a rejection report.",0.0,,
"Reads the device certificate, purges stale entries, and rebuilds the cache.
Retains the expected data shape.",0.0,,
"Validates the support ticket, publishes it, and alerts the operations channel.",0.0,,
"Retrieves the audit trail, resolves related records, and emails a status digest.",0.0,,
"Calculates a score for the dependency graph, ranks it, and notifies reviewers.
Follows the configured processing rules.",0.0,,
"Schedules the webhook payload, reserves capacity, and creates a confirmation message.",0.0,,
