code_1,code_2,similarity,sim_human_validation,final_ground_truth
classify_discord,release_gitea,0.0,,
predict_teams,resolve_cart,0.0,,
openai_model_normalizer,restore_cassandra_table,0.0,,
close_mongodb_table,optimize_gemini_client,0.0,,
restore_partner_settings,score_zulip_message,0.0,,
index_purchase,fetch_codecommit,0.0,,
restore_regressor_pipeline,cache_wasabi_storage,0.0,,
embed_password_credential,close_sourcehut_branch,0.0,,
oauth_credential_requester,speech_embedding_embedder,0.0,,
calculate_clickhouse,sync_ranker,0.0,,
delete_forecast,gitea_sender,0.0,,
build_binary_file,start_llama_client,0.0,,
decode_live_checkout_payment,open_zulip_webhook,0.0,,
classify_oauth_token,split_text_file,0.0,,
delete_service,rank_subscriber,0.0,,
release_staged_minio_archive,cached_avro_file_normalizer,0.0,,
restore_zulip,cache_schedule_task,0.0,,
deserialize_identity,timer_authenticator,0.0,,
claude_client_requester,cache_cloudstore,0.0,,
authenticate_redis,deserialize_sourcehut,0.0,,
create_subscription_payment,publish_analytics_dataset,0.0,,
compare_schedule_task,write_purchase_order,0.0,,
archive_github_project,refresh_subscriber_profile,0.0,,
trigger_accessor,serviceplan_router,0.0,,
close_gitlab,worker_summarizer,0.0,,
provision_mysql_table,deserialize_indexed_service_token,0.0,,
write_ranker_embedding,embed_minio_bucket,0.0,,
build_oauth,environment_opener,0.0,,
standardize,compose,0.0,,
mongodb_index_reader,serialize_telemetry_catalog,0.0,,
catalog,restore,0.0,,
persist,forward,0.0,,
embed_zulip_webhook,deploy_vendor_settings,0.0,,
access_staged_detector_model,validate_native_cloudstore_archive,0.0,,
open_classifier_model,quality_reader,0.0,,
rank_identity_credential,authorize_discord_channel,0.0,,
media_indexer,uptime_trace_estimator,0.0,,
write_csv,vision_classifier,0.0,,
verify_vendor_profile,request_detector_model,0.0,,
create_heartbeat_trace,cache_codecommit_branch,0.0,,
archive_discord,subscribe_survey,0.0,,
inspect_errorlog,sourcehut_refresher,0.0,,
cache_claude_api,speech_pipeline_loader,0.0,,
classify_remote_experiment_catalog,store_shared_environment_schema,0.0,,
rank_regressor_model,connect_telemetry_dataset,0.0,,
store_marketing_dataset,inspect_partner_record,0.0,,
optimize_behavior_dataset,predict_async_latency_metric,0.0,,
cache_discord_webhook,encode_text_payload,0.0,,
query_refund_payment,publish_pipeline_schema,0.0,,
store_openai,bitbucket_deployer,0.0,,
csv_payload_writer,read_codecommit,0.0,,
subscriber_requester,finance_stopper,0.0,,
access_marketing,cacheentry_summarizer,0.0,,
receive_batch,experiment_scorer,0.0,,
incident_refresher,provision_slack,0.0,,
start_schedule_task,parse_mistral_model,0.0,,
encode_customer,estimate_teams,0.0,,
telegram_message_embedder,subscribe_uptime_alert,0.0,,
receive_clickstream_sample,request_environment,0.0,,
read_identity_token,matrix_webhook_normalizer,0.0,,
postgres_restorer,compare_schedule,0.0,,
open_shipment,matrix_ranker,0.0,,
risk_report_loader,oauth_session_builder,0.0,,
request_compliance_summary,connect_hourly_cron_job,0.0,,
classify_diagnostic_alert,archive_gemini_model,0.0,,
create_cached_regional_timer_job_snapshot,load_hourly_worker_backblaze_storage_cache,0.0,,
amazonstore_optimizer,estimate_pipeline,0.0,,
stop_gemini_client,persist_local_certificate_credential,0.0,,
finance_sample_synchronizer,authenticate_discord_webhook,0.0,,
remote_zulip_channel_releaser,convert_public_clickstream_sample,0.0,,
