code_1,code_2,similarity,sim_human_validation,final_ground_truth
load_content_block,"Apply throttling to the job run from local storage.
Report the latest state to the caller.",0.0,,
sync_incident_record_current,"Paginate the API response under the active security policy.
Leave the source data unchanged.
Return the resulting value or status.",0.0,,
delete_health,Hash the MFA challenge during retry handling.,0.0,,
verify_html_fragment,Enable the approval request for the requested export.,0.0,,
update_invoice_record,"Aggregate the conversion rate under the configured timeout.
Use the current selection criteria.
Make the outcome available to the next processing step.",0.0,,
restore,"Index the DNS record for the requested export.
Keep the operation scoped to the active workflow.",0.0,,
detect_tax_rate,"Delete the package version under the configured timeout.
Preserve unrelated state while the operation runs.",0.0,,
filter_retry_request_body,"Monitor the error budget before deployment.
Do not advance unrelated jobs.",0.0,,
estimate_date_range,Normalize the HTTP header from cached state.,0.0,,
rollback,"Deduplicate the shipment label from the incoming payload.
Apply the active configuration before committing changes.
Make the outcome available to the next processing step.",0.0,,
encrypt_form_field,"Roll back the scheduled task before the workflow continues.
Report the latest state to the caller.
Preserve the caller's active context.",0.0,,
refresh,"Deploy the state transition within the current transaction.
Keep the work within the current processing flow.",0.0,,
deploy_file_upload_export,"Synchronize the product catalog from cached state.
Return a value suitable for the caller.
Preserve the caller's active context.",0.0,,
fetch_html_fragment,"Invalidate the webhook signature for audit review.
Apply the active configuration before committing changes.",0.0,,
merge_record,Route the delivery attempt to the appropriate handler during the background job.,0.0,,
monitor_recommendation_score,"Audit the secret value for audit review.
Apply the active security policy.",0.0,,
validate_record,"Update the permission grant for the current request.
Apply the active configuration before committing changes.",0.0,,
audit_tenant_state_transition,"Index the incident record before deployment.
Use the configured source when an override is not supplied.
Return the resulting value or status.",0.0,,
archive_category_tree,"Audit the approval request during the background job.
Do not expose protected details in the returned result.",0.0,,
load_device_fingerprint,"Sort the order line from the incoming payload.
Use the current selection criteria.",0.0,,
throttle_search_index_incoming,"Audit the retention rule under the configured timeout.
Do not expose protected details in the returned result.
Leave unrelated state unchanged.",0.0,,
decrypt_secret_value,"Classify the fraud signal under the active security policy.
Use the current selection criteria.
Make the outcome available to the next processing step.",0.0,,
hash_profile,"Index the data partition before the workflow continues.
Return a value suitable for the caller.",0.0,,
load_runtime_setting,Take the next item from the file upload from the remote service.,0.0,,
invalidate_runtime_setting,"Calculate the conversion rate for the selected workspace.
Use the current selection criteria.
Make the outcome available to the next processing step.",0.0,,
load_fragment,Build the cache entry during retry handling.,0.0,,
merge_code,"Audit the OAuth client from cached state.
Keep the decision available for audit handling.",0.0,,
delete_metric_series,Validate the order line for the current request.,0.0,,
format_release_document,"Index the database connection for the selected workspace.
Return a value suitable for the caller.",0.0,,
load_secure_html_fragment,"Score the quota limit from the remote service.
Use the current selection criteria.",0.0,,
hydrate_product_catalog,"Score the timezone value during retry handling.
Use the current selection criteria.",0.0,,
load_product_catalog,"Deploy the DNS record from local storage.
Keep the work within the current processing flow.
Leave unrelated state unchanged.",0.0,,
