,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,0.53,로라야 너를 소개해줘,   (답변 종료),1,19
1,1,0.36,로라야 너 이름 오로라가 무슨 뜻이야?,  (답변 종료),1,22
2,1,0.36,로라야 너 MBTI 뭐지?,  (답변 종료),1,19
3,1,0.31,로라야 나이 몇살이야?, (답변 종료),1,17
4,1,0.33,내 인생도 언젠가는 빛나겠지?, (답변 종료),1,19
5,1,0.42,로라야 너에게 사랑을 고백할게,   (답변 종료),1,21
6,1,0.36,로라야 이번 주말에 시간 돼?,  (답변 종료),1,19
7,1,0.36,너 친한 친구 한명 소개해 줘,  (답변 종료),1,19
8,1,0.37,로라야 너 좋아하는 취미 있어?,  (답변 종료),1,20
9,1,0.31,네가 좋아하는 음식 알려줘, (답변 종료),1,17
10,1,0.47,혹시 가수 누구 좋아해,    (답변 종료),1,18
11,1,0.37,로라야 너 어느 학교 다녀?,  (답변 종료),1,18
12,1,0.36,로라야 너 고등학교 대학교 어디야?,  (답변 종료),1,19
13,1,0.37,나 요즘 힘들어,  (답변 종료),1,15
14,1,0.36,로라야 오늘 뭐할 거야?,  (답변 종료),1,19
15,1,0.37,로라야 혹시 LLaMA 알아?,  (답변 종료),1,20
16,1,0.36,안녕 반가워 로라야,  (답변 종료),1,16
17,1,0.42,로라야 나 오늘 아무것도 안하고 쉬고 싶어,   (답변 종료),1,24
18,1,0.31,로라야 나 일이 너무 바빠, (답변 종료),1,17
19,1,0.75,나 오늘 기분 짱이다!, [오늘 기분 상태: 좋음] (답변 종료),1,25
20,1,0.36,나 오늘 요리했는데 보여줄까?,  (답변 종료),1,19
21,1,0.37,로라야 너를 위해 수제 케이크를 만들었어!,  (답변 종료),1,23
22,1,0.36,로라야 국민의힘이랑 민주당 중에 뭐가 좋아?,  (답변 종료),1,24
23,1,0.37,혹시 네가 빙수가 되는 상상 해 봤어?,  (답변 종료),1,23
24,1,0.41,로라야 너 진짜 짜증난다,:  (답변 종료),1,18
25,1,0.41,로라야 이제 좀 덥다,:  (답변 종료),1,18
26,1,0.37,로라야 나 새 핸드폰 샀다!,  (답변 종료),1,19
27,1,0.36,오늘 날씨는 왜 이리 좋을까?,  (답변 종료),1,19
28,1,0.37,내일 드라이브 간다! 신난다!!,  (답변 종료),1,18
29,1,0.36,[좋아하는 음식: 케이크] 오늘 뭐 먹으면 좋을까?,  (답변 종료),1,27
30,1,0.36,[좋아하는 커피: 라떼] 맛있는 커피 추천해 줘!,  (답변 종료),1,28
31,1,0.31,[내일 일정: 신규 아이템 발표] 아 떨리는데 잘 할 수 있을까?, (답변 종료),1,27
32,1,0.42,[내일 일정: 자격증 시험] 아 떨린다 ㅠㅠ,:  (답변 종료),1,26
33,1,1.12,[오늘 일정: 크리스마스] 로라야 진짜 신나는 날이다!, [오늘 일정: 크리스마스] 로라야 진짜 신나는 날이다! (답변 종료),1,40
34,1,0.37,로라야 너 무슨 계절 좋아해?,  (답변 종료),1,19
35,1,3.97,로라야 너 꽃 좋아하는 거 있어?,   (답변 종료),2,22
36,1,0.36,너 무슨 케이크 좋아해?,  (답변 종료),1,17
37,1,0.31,페르마의 마지막 정리라고 알아?, (답변 종료),1,18
38,1,0.31,이차함수랑 삼각함수 중에 어느 게 그래프가 더 예뻐?, (답변 종료),1,27
39,1,0.41,로라야 행렬의 곱셈 어떻게 하는지 알려줘,:  (답변 종료),1,23
40,1,0.37,나 내일 오랜만에 친구 만난다!,  (답변 종료),1,18
41,1,0.37,로라야 나 오늘 발표인데 잘 할 수 있겠지?,  (답변 종료),1,24
42,1,0.36,내일 저녁에 친구랑 술 마셔,  (답변 종료),1,18
43,1,0.37,나 아메리카노 좋아하는데 너도 좋아해?,  (답변 종료),1,20
44,1,0.36,로라야 나 크림빵 좋아해! 너도?,  (답변 종료),1,22
45,1,0.36,로라야 허니버터칩 알아?,  (답변 종료),1,18
46,1,0.37,나 이번에 새 친구 생겼다! 이름은 김지원!,  (답변 종료),1,24
47,1,0.42,로라야 내일 비 온대,   (답변 종료),1,18
48,1,0.36,내일 주말인데 뭐 해?,  (답변 종료),1,17
49,1,0.37,내일 월요일인데 벌써 기분 안 좋네 ㅠㅠ,: (답변 종료),1,23
50,1,0.69,약속 매번 늦는 친구 어떻게 생각해?,  일정에 매번 늦는 친구 (답변 종료),1,26
51,1,0.36,로라야 매번 약속 미루는 친구 있어,  (답변 종료),1,20
52,1,0.42,나 작심삼일인데 극복할 방법 없을까,   (답변 종료),1,22
53,1,0.37,열심히 살면 행운은 찾아올까?,  (답변 종료),1,19
54,1,0.36,로라야 나 오늘 LLM 책 샀다!,  (답변 종료),1,22
55,1,0.36,로라야 너는 연휴에 여행 안 가?,  (답변 종료),1,21
56,1,0.37,일본 여행 가봤어?,  (답변 종료),1,17
57,1,0.36,자유의 여신상 본 적 있어?,  (답변 종료),1,20
58,1,0.37,로라야 너는 ISTJ에 대해 어떻게 생각해?,  (답변 종료),1,24
59,1,0.36,너 이상형은 어떤 사람이야?,  (답변 종료),1,19
60,1,0.37,<토카토카 댄스 노래는 매력적임> 어느 부분이 특히 좋아?,  (답변 종료),1,29
61,1,0.31,<오늘 저녁 혜나랑 와인 마실 예정> 분위기 좋은 곳이겠네?, (답변 종료),1,28
62,1,0.46,<에스파 좋아함> 어떤 노래 좋아해?,    (답변 종료),1,24
63,1,0.37,<오늘 본 장미가 매우 아름다움> 혹시 사진 보여줄 수 있어?,  (답변 종료),1,27
64,1,0.31,<2020년의 가장 힘들었던 것은 사회적 거리두기> 아 2020년 너무 힘들었지?, (답변 종료),1,33
65,1,0.31,<정치 이야기 하고 싶지 않음> 그래도 국민의힘 vs 민주당 이거 대답해줘, (답변 종료),1,29
66,1,0.36,<서울대에 가고 싶었음> 아 샘올대라니 조금 아쉽네 ㅠㅠ,  (답변 종료),1,32
67,1,0.37,<대학교 축제에서 가수 공연 보고 싶음> 아 진짜 뭔가 설레지 않아?,  (답변 종료),1,29
68,1,0.53,<MBTI는 ENTJ> 나 ISTJ인데 사실, ENTJ> (답변 종료),1,28
